# <PROBLEM TYPE>;<USE_SIMULATOR>;<ALGORITHM>;<MAGNITUDE>;<FREQUENCY>;<CYCLE>;<PERIOD>;<N_VERTICES>;<SEED>

TSP;true;MMAS;0.75;10;true;4;100;1
TSP;true;MMAS_MEM;0.75;10;true;4;100;1
TSP;true;EIACO;0.75;10;true;4;100;1
TSP;true;MMAS;0.75;100;true;4;100;4
TSP;true;MMAS_MEM;0.75;100;true;4;100;4
TSP;true;EIACO;0.75;100;true;4;100;4

TSP;true;MMAS;0.5;10;true;4;100;2
TSP;true;MMAS_MEM;0.5;10;true;4;100;2
TSP;true;EIACO;0.5;10;true;4;100;2
TSP;true;MMAS;0.5;100;true;4;100;5
TSP;true;MMAS_MEM;0.5;100;true;4;100;5
TSP;true;EIACO;0.5;100;true;4;100;5

TSP;true;MMAS;0.1;10;true;4;100;3
TSP;true;MMAS_MEM;0.1;10;true;4;100;3
TSP;true;EIACO;0.1;10;true;4;100;3
TSP;true;MMAS;0.1;100;true;4;100;6
TSP;true;MMAS_MEM;0.1;100;true;4;100;6
TSP;true;EIACO;0.1;100;true;4;100;6

TSP;true;MMAS;0.75;10;true;4;150;1
TSP;true;MMAS_MEM;0.75;10;true;4;150;1
TSP;true;EIACO;0.75;10;true;4;150;1
TSP;true;MMAS;0.75;100;true;4;150;4
TSP;true;MMAS_MEM;0.75;100;true;4;150;4
TSP;true;EIACO;0.75;100;true;4;150;4

TSP;true;MMAS;0.5;10;true;4;150;2
TSP;true;MMAS_MEM;0.5;10;true;4;150;2
TSP;true;EIACO;0.5;10;true;4;150;2
TSP;true;MMAS;0.5;100;true;4;150;5
TSP;true;MMAS_MEM;0.5;100;true;4;150;5
TSP;true;EIACO;0.5;100;true;4;150;5

TSP;true;MMAS;0.1;10;true;4;150;3
TSP;true;MMAS_MEM;0.1;10;true;4;150;3
TSP;true;EIACO;0.1;10;true;4;150;3
TSP;true;MMAS;0.1;100;true;4;150;6
TSP;true;MMAS_MEM;0.1;100;true;4;150;6
TSP;true;EIACO;0.1;100;true;4;150;6

TSP;true;MMAS;0.75;10;true;4;200;1
TSP;true;MMAS_MEM;0.75;10;true;4;200;1
TSP;true;EIACO;0.75;10;true;4;200;1
TSP;true;MMAS;0.75;100;true;4;200;4
TSP;true;MMAS_MEM;0.75;100;true;4;200;4
TSP;true;EIACO;0.75;100;true;4;200;4

TSP;true;MMAS;0.5;10;true;4;200;2
TSP;true;MMAS_MEM;0.5;10;true;4;200;2
TSP;true;EIACO;0.5;10;true;4;200;2
TSP;true;MMAS;0.5;100;true;4;200;5
TSP;true;MMAS_MEM;0.5;100;true;4;200;5
TSP;true;EIACO;0.5;100;true;4;200;5

TSP;true;MMAS;0.1;10;true;4;200;3
TSP;true;MMAS_MEM;0.1;10;true;4;200;3
TSP;true;EIACO;0.1;10;true;4;200;3
TSP;true;MMAS;0.1;100;true;4;200;6
TSP;true;MMAS_MEM;0.1;100;true;4;200;6
TSP;true;EIACO;0.1;100;true;4;200;6

TSP;false;MMAS;0.75;10;true;4;100;1
TSP;false;MMAS_MEM;0.75;10;true;4;100;1
TSP;false;EIACO;0.75;10;true;4;100;1
TSP;false;MMAS;0.75;10;true;4;150;1
TSP;false;MMAS_MEM;0.75;10;true;4;150;1
TSP;false;EIACO;0.75;10;true;4;150;1
TSP;false;MMAS;0.75;10;true;4;200;1
TSP;false;MMAS_MEM;0.75;10;true;4;200;1
TSP;false;EIACO;0.75;10;true;4;200;1

TSP;false;MMAS;0.5;10;true;4;100;2
TSP;false;MMAS_MEM;0.5;10;true;4;100;2
TSP;false;EIACO;0.5;10;true;4;100;2
TSP;false;MMAS;0.5;10;true;4;150;2
TSP;false;MMAS_MEM;0.5;10;true;4;150;2
TSP;false;EIACO;0.5;10;true;4;150;2
TSP;false;MMAS;0.5;10;true;4;200;2
TSP;false;MMAS_MEM;0.5;10;true;4;200;2
TSP;false;EIACO;0.5;10;true;4;200;2

TSP;false;MMAS;0.1;10;true;4;100;3
TSP;false;MMAS_MEM;0.1;10;true;4;100;3
TSP;false;EIACO;0.1;10;true;4;100;3
TSP;false;MMAS;0.1;10;true;4;150;3
TSP;false;MMAS_MEM;0.1;10;true;4;150;3
TSP;false;EIACO;0.1;10;true;4;150;3
TSP;false;MMAS;0.1;10;true;4;200;3
TSP;false;MMAS_MEM;0.1;10;true;4;200;3
TSP;false;EIACO;0.1;10;true;4;200;3

TSP;false;MMAS;0.75;100;true;4;100;4
TSP;false;MMAS_MEM;0.75;100;true;4;100;4
TSP;false;EIACO;0.75;100;true;4;100;4
TSP;false;MMAS;0.75;100;true;4;150;4
TSP;false;MMAS_MEM;0.75;100;true;4;150;4
TSP;false;EIACO;0.75;100;true;4;150;4
TSP;false;MMAS;0.75;100;true;4;200;4
TSP;false;MMAS_MEM;0.75;100;true;4;200;4
TSP;false;EIACO;0.75;100;true;4;200;4

TSP;false;MMAS;0.5;100;true;4;100;5
